tweet,likes_count,tweetFiltrado,topico
conflict zone | ukraine | day 76 video from ukraine's 25th airborne brigade of a javelin  strike on a russian t-72b tank.  #rage #military #azovstal  #kyiv #russia #ukraine  https://t.co/bjrog0vwuf,34,conflict zone  ukraine  day video ukraine airborne brigade javelin strike tb tank rage military azovstal kyiv ukraine,7
new trophy #russian tank surrendered to #ukrainian warriors:  https://t.co/ecvsq0mewb #ukraine #russia,34,trophy tank surrendered ukrainian warrior ukraine,7
the war against #russia in #ukraine is a proxy war designed to employ the full range of american and allied capabilities against #russian forces. i wonder whether washington’s enormous investment in this war has colored the opinions ofanalysts &amp; their evaluation of events in.  https://t.co/vnxwso0j9w,34,war ukraine proxy war designed employ full range american allied capability force wonder washington enormous investment war colored opinion ofanalysts evaluation event,4
veto... even the smallest countries can stop the greatest changes in the european union.  #veto #vetoright #eu #europeanunion #hungary #poland #ukraine #war #russia #putin #oil #sanctions #russiaukrain @cartoonmovement @cartooningpeace @joop_nl @eu_commission @europarl_en #europe  https://t.co/bhv4csfovs,34,veto smallest country greatest change european union veto vetoright eu europeanunion hungary poland ukraine war putin oil sanction russiaukrain cartoonmovement cartooningpeace joopnl eucommission europarlen europe,5
pm @morawieckim for @telegraph on putin’s “russkiy mir” ideology and #russia’s aggression against #ukraine. read more:  https://t.co/axkootdih7  https://t.co/xwwdt0qm0a,34,pm morawieckim telegraph putin russkiy mir ideology russia aggression ukraine read,8
"kick-starting a #russia-free #energy transition requires a global reinvestment in oil &amp; gas and #nuclear energy supply chains, with well-directed investments in renewables &amp; #uranium  #energytransition #energycrisis #netzero #esg   https://t.co/xpppyepou1",34,kickstarting russiafree energy transition requires global reinvestment oil gas nuclear energy supply chain welldirected investment renewables uranium energytransition energycrisis netzero esg,5
#belgorod region in #russia again under great attack today. it's time for them to feel it too. #russiaunderattack  #standwithukraine #standupforukraine #славаукраине   https://t.co/cpoelcteqn,34,belgorod region great attack today time feel russiaunderattack standwithukraine standupforukraine славаукраине,9
another protest rally took place near the russian embassy in prague.    these three girls (first picture) look extremely suspicious  #russiaukrainewar #russia #ukraine nazism ukrainians #prague #russianembassy  https://t.co/wflafmx3va,34,protest rally place embassy prague three girl picture extremely suspicious russiaukrainewar ukraine nazism ukrainian prague russianembassy,0
".@djrothkopf: ""the speech from #ukraine’s president revealed the hollowness of both #putin’s words and the pomp of the red square military parade with which #russia has traditionally made a big show of flexing its muscles for the world.""  https://t.co/robzhvd50t",34,djrothkopf speech ukraine president revealed hollowness putin word pomp red square military parade traditionally big flexing muscle world,0
@mfa_russia @pmsimferopol @crimeainform_en @rusembassyminsk @rusembest @rusembsrilanka @rfembassygr @mission_russian @amb_ulyanov @ggatilov @a__alimov re-unification = invasion soviet ambitions by #putin who ‘thinks’ this was a great period in #russia history to subvert other countries to their will.,34,mfarussia pmsimferopol crimeainformen rusembassyminsk rusembest rusembsrilanka rfembassygr missionrussian ambulyanov ggatilov aalimov reunification  invasion soviet ambition putin ‘thinks great period history subvert country will,2
"#russia's  invasion of #ukraine  is going to worsen the food crisis in #africa.  nearly half of all countries on the continent are reliant on wheat imports that come across the black sea ports, currently closed by ukraine.  https://t.co/sqptaxnco2",34,russia invasion ukraine going worsen food crisis africa half country continent reliant wheat import black sea port currently closed ukraine,5
"4)western pivot away from #russia's #uranium has triggered record-breaking spikes in uf6, conversion &amp; enrichment swu prices as #nuclear utilities scramble to find alternative supply in the west. anti-russia pivot cuts secondary u supply in half, adding to #supplyshock5  https://t.co/cmsfz8lw7o",34,western pivot russia uranium triggered recordbreaking spike uf conversion enrichment swu price nuclear utility scramble find alternative supply west antirussia pivot cut secondary supply half adding supplyshock,5
#russia's putin continues with his victim blaming of ukraine. classic distortion of reality by an abuser.   https://t.co/wmxjvjwlph,34,russia putin continues victim blaming ukraine classic distortion reality abuser,0
"#russia was not here yet, they were shelling us. when yours came, there were no such shellings.""  mariupolets spoke about how the #ukrainian national battalions #azov fired at the peaceful quarters of the city.  https://t.co/njv3jbsr7f",34,shelling shelling mariupolets spoke ukrainian national battalion azov fired peaceful quarter city,7
there is huge racism in ukraine first denying africans to enter trains and shops and now this  somebody should do something about it..!!   russia hold my beer !  #somalia #mogadishu #muqdisho #somali #russia #ukraine  https://t.co/viv1bchbjv,34,huge racism ukraine denying african enter train shop hold beer  somalia mogadishu muqdisho somali ukraine,0
when is the us at war? russia’s red line by ted snider #russia #ukraine #nato   https://t.co/fckdoiaot0  https://t.co/nq4ctirzln,34,war russia red ted snider ukraine nato,0
"this has been used as the command post of the tactical grouping of the armed forces of #ukraine in the area of ​​zolote ,it was destroyed by #russianarmy air strikes #donetsk #kharkiv #izyum #russia  https://t.co/vtf7zwgu8b",34,command post tactical grouping armed force ukraine area ​​zolote destroyed russianarmy air strike donetsk kharkiv izyum,7
"he also claims that commander of the 1st guards tank army, lieutenant general sergei kisel has been fired and arrested by #putin’s orders, after retreat from #kharkiv!  2/5  #россия #russia #российские #войска #russianarmy  https://t.co/fbifn0sc16",34,claim commander st guard tank army lieutenant general sergei kisel fired arrested putin order retreat kharkiv  россия российские войска russianarmy,7
"estimates by #ukraine’s mod @defenceu on losses by the invading #russia|n forces as of 16 may.   while it's not possible to verify these figures, independent observers point to very substantial russian losses in both personnel and equipment.  https://t.co/470ttjt0mu",34,estimate ukraine mod defenceu loss invading force verify figure independent observer point substantial loss personnel equipment,4
in 2015 #russia unveiled the most advanced combat vehicles in the world. eight years later and none are in service or even full-rate production.  it turns out they were all too expensive for the stingy russian army.  #madeinrussia   https://t.co/uomofrqveb,34,unveiled advanced combat vehicle world year service fullrate production turn expensive stingy army madeinrussia,7
"large #ukrainian troop surrenders. if they have left or are leaving, then we will see the cities quickly fall to #russia and most of the remaining #lugansk territory fall to (ironically) lugansk and russian allies. the question will then become if #russia can repeat a larger",34,large ukrainian troop surrender left leaving will city fall remaining lugansk territory fall ironically lugansk ally question will repeat larger,4
"""at the very least, we believe the dichotomy will usher in a period of more ad hoc decision-making in #russia..."" per @odnigov's haines  ""the current trend increases the likelihood that pres #putin wil turn to more drastic means...""",34,dichotomy will usher period ad hoc decisionmaking odnigovs haines current trend increase likelihood pres putin wil turn drastic,0
the head of the military intelligence of #ukraine kirill #budanov said that the president of #russia is seriously ill with cancer and a coup is already underway to overthrow him.  fingers crossed?!   #putler #putin #putinwarcriminal #putinsawarcriminal #butcher #z  https://t.co/6bk0y4vuru,34,head military intelligence ukraine kirill budanov president seriously ill cancer coup underway overthrow finger crossed putler putin putinwarcriminal putinsawarcriminal butcher,8
 but america isn't at war.. #russia #ukraine #ampfw,34,america isnt war ukraine ampfw,0
"#russia - #nuke authorization?  ""we otherwise continue to believe that pres. #putin would only authorize the use of nuclear weapons is he perceived an existential threat to the russian state or regime"" per @odnigov's haines",34, nuke authorization continue pres putin authorize nuclear weapon perceived existential threat state regime odnigovs haines,8
"astronomical debt was the equivalent of strapping #russia with unmanageable debt through the arms race.  the economic hitman was always a globalist tool, not a tool of the usa and the wars around the world were orchestrated to sow the seeds of hatred toward the usa. #globalists",34,astronomical debt equivalent strapping unmanageable debt arm race economic hitman globalist tool tool usa war world orchestrated sow seed hatred usa globalists,5
"#russia: seaborne crude exports heading to #china have risen to around 1.3mbpd so far in may, exports to #india have fallen to around 200kbpd so far in may according to @petro_logistics     #oott  https://t.co/vgmf7bacbg",34,seaborne crude export heading china risen mbpd export india fallen kbpd petrologistics oott,5
"if this #palestinian #martyr  reporter was a european, covering the events from #ukraine , the western media would have kept talking and writing about it and against #russia day and night. #israelicrimes  #westerns #hypocrisy  #شيرين_أبوعاقلة  #shireenabuakleh  #shireenabuaqla  https://t.co/97spyum7qc",34,palestinian martyr reporter european covering event ukraine  western medium talking writing day night israelicrimes western hypocrisy شيرينأبوعاقلة shireenabuakleh shireenabuaqla,3
full video of brave people of #poland attacking unarmed #russia'n ambassador who came to lay flowers of ww2 heroes who liberated polish people!  people supporting nazi battalion in #ukraine.  https://t.co/yzqa2knrfm,34,full video brave people poland attacking unarmed ambassador lay flower ww hero liberated polish people people supporting nazi battalion ukraine,0
#putin #russia   russian navy ship ‘on fire’ in black sea - follow live     https://t.co/l7givpusmr,33,putin navy ship ‘on fire black sea  follow live,4
zelensky says russian withdrawal necessary for peace talks to begin!  #pulsewatchitnews #pulsenewsvid #zelensky #russia  https://t.co/xp96a1gtui,33,zelensky withdrawal peace talk pulsewatchitnews pulsenewsvid zelensky,1
"trump, putin &amp; saudi connection to high #gas prices -“in 2nd year of presidency, trump blew up iran nuclear deal…trying to erase obama’s legacy…real &amp; immediate impact of decision was boosted profits for #russia #saudiarabia &amp; us #fossilfuel industry.”  https://t.co/zphq8qpw8r",33,trump putin saudi connection high gas price year presidency trump blew iran nuclear deal…trying erase obamas legacy…real impact decision boosted profit saudiarabia fossilfuel industry,5
"@igorsushko @mgimo leaders of other nations should reframe from telling the people of #ukraine (#zelensky ) what land they should cede to #russia. frankly, they should know better. i can guarantee none of them would be happy if outsiders told them what to do with their sovereign land",33,igorsushko mgimo leader nation reframe telling people ukraine zelensky  land cede frankly better guarantee happy outsider told sovereign land,1
"a ukrainian citizen asks putin to bomb customs in #lviv, through which luxury cars are transported under the guise of purchases for ukrainian forces. #ukraine #russia #russia_ukraine  https://t.co/xhrpmwvrmm",33,ukrainian citizen asks putin bomb custom lviv luxury car transported guise purchase ukrainian force ukraine russiaukraine,7
"another fire reported in #russia which may, or may not, be suspicious.  some sort of manufacturing plant was ablaze in kamensk-uralsky in the #sverdlosk region.  officials say no one was in the plant at the time and no injuries.  #standwithukraine #stopputinnow  https://t.co/q23zlzyajs",33,fire reported suspicious sort manufacturing plant ablaze kamenskuralsky sverdlosk region official plant time injury standwithukraine stopputinnow,9
female ukrainian soldier with her cat    cats love cats    #ukraine #russia #ukrainian  https://t.co/3z2t0ws6xl,33,female ukrainian soldier cat cat love cat ukraine ukrainian,7
this is also known as #russia being in no rush to see #iran's oil return to the market.  https://t.co/thnyniebgc,33,rush iran oil return market,5
#ukraina before 2022.. ---------------------------- oh dear oh dear oh dear ----------------------------  #ukraine #ukrainerussiawar  #russia #russianukrainianwar  https://t.co/e6nv7u4ahg,33,ukraina   dear dear dear  ukraine ukrainerussiawar russianukrainianwar,7
@maxseddon this is a 370% increase in #russia’s #nato border. good job #putin.,33,maxseddon  increase russia nato border good job putin,8
it is important to step up actions. only strong &amp; simultaneous measures against the two co-aggressors of #russia &amp; the #lukashenka regime in #belarus can force to stop the war. @matthias2001 @delacoste_n @annaclunes @scanlon_leslie @usambbelarus @latvian_mfa @lithuaniamfa @msz_rp,33,step action strong simultaneous measure coaggressors lukashenka regime belarus force war matthias delacosten annaclunes scanlonleslie usambbelarus latvianmfa lithuaniamfa mszrp,4
"russia celebrates victory day. cartoons by @studiohajo, @emadhajjaj and @petrenkoandryi  more in our collection:  https://t.co/remqn0jqj8  #victoryday #russia #putin #ukraine #defeat  https://t.co/gl8skaqqwn",33,celebrates victory day cartoon studiohajo emadhajjaj petrenkoandryi collection victoryday putin ukraine defeat,0
"the russian tank was dismantled into small pieces.  the russian driver evaporated, not even in a small jar to collect the remains of the russian occupiers.  we told you, don't go to ukraine, we will kill everyone. #ukraine #war #russia #russianarmy #укртві  https://t.co/h4bkaz8zlc",33,tank dismantled small piece driver evaporated small jar collect remains occupier told dont ukraine will kill ukraine war russianarmy укртві,3
" #russia’s failed invasion of #ukraine can pave the way to ending the #kremlin’s weaponized disinformation against the #west.#twitter limited more than 300 russian government accounts last month, including that of vladimir #putin:  https://t.co/jmuqbo4xkr  https://t.co/zvhjmsvys8",33,russia failed invasion ukraine pave kremlin weaponized disinformation westtwitter limited government account month including vladimir putin,8
#russia moscow the immortal regiment march 9/05/2022  https://t.co/xunlytqy86,33,moscow immortal regiment march ,0
"vatican state secretary cardinale pietro parolin, says sending weapons to #ukraine is right! i ask these nato warmonkers, why didn't you promote sending arms to #russia-n people in #donbass under 8 years of nazi aggression? (= 15,000 killings). ""omg""  https://t.co/4fzmmaj0ea 1/2  https://t.co/dltgarvbyn",33,vatican state secretary cardinale pietro parolin sending weapon ukraine nato warmonkers didnt promote sending arm people donbas year nazi aggression   killing omg ,3
@mcfaul indeed. crossing my fingers to see it happening in #russia.,33,mcfaul crossing finger happening,0
so small... crazy world #russia  https://t.co/lju8nu61aq,33,small crazy world,0
#russia #ukraine map update: #severodonetsk military map. clashes between #uaf and russian #lpr forces continue in the south of #rubizhne and in vojevodivka. interactive map:  https://t.co/efyhesxt46  https://t.co/wujpoiuh6h,33,ukraine map update severodonetsk military map clash uaf lpr force continue south rubizhne vojevodivka interactive map,4
"if #nato moves nuclear forces and infrastructure to the borders of the #russia|n federation, it will be necessary to respond to this by taking adequate precautionary measures- said the russian deputy foreign minister",33,nato move nuclear force infrastructure border federation will respond adequate precautionary measure deputy foreign minister,8
i fully support #ukraine against #russia aggression. but not a blank check.  and forced political theater like this by #mitchmcconnell actually chips away at my enthusiasm.,33,fully support ukraine aggression blank check forced political theater mitchmcconnell chip enthusiasm,0
"watching ukrainian  soldiers drag a border post to a nondescript location at the russia-ukraine border to film a pr stunt is pure entertainment.   while #ukraine films propaganda, #russia conquers territory. priorities.  https://t.co/fd2hfewzuv",33,watching ukrainian soldier drag border post nondescript location russiaukraine border film pr stunt pure entertainment ukraine film propaganda conquers territory priority,3
"@expatua given the shortage of microchips in #russia, wouldn't they have tried to place in the helicopter that of a washing machine ... in full?",33,expatua shortage microchip place helicopter washing machine  full,5
"estimates by #ukraine’s mod @defenceu on losses by the invading #russia|n forces as of 10 may.   while these figures are difficult to verify, independent observers point to very substantional russian losses in both personnel and equipment.  https://t.co/duuptgp2wg",33,estimate ukraine mod defenceu loss invading force figure difficult verify independent observer point substantional loss personnel equipment,4
"an outbreak of #africanswinefever  was reported in #russia  via #wahis.  while the source of the infection is still unknown, preventive measures such as surveillance, quarantine and disinfection have been implemented.  consult the full report   https://t.co/c4orcaqk1k  https://t.co/zk6ekql660",33,outbreak africanswinefever reported wahis source infection unknown preventive measure surveillance quarantine disinfection implemented consult full report,0
 happening now  the @un general assembly holds a by-election to fill the seat on the human rights council vacated by #russia.  ⏰16:00 (geneva) / 10:00 (new york) watch live   https://t.co/zqhe79ztdj  https://t.co/h5bf6iwe5z,33,happening general assembly hold byelection fill seat human right council vacated ⏰ geneva   york watch live,6
kick off of victory day celebrations in stalingrad  #russia   https://t.co/xtqt5uzvjc,33,kick victory day celebration stalingrad,0
smart sanctions. they hurt everyone except #russia...,33,smart sanction hurt,5
"@withinsyriablog did you see them trying to say #russia was withdrawing 65,000 troops from #syria?  non-stop bs from that crowd!",33,withinsyriablog withdrawing  troop syria nonstop b crowd,4
change of #russian policy to block not only #nato but also now eu membership of #ukraine makes peaceful resolution of #russiaukraineconflict much more difficult if not practically impossible. 1/ #ukrainerussiawar  #russia #russiaukrainewar #ukrainewar   https://t.co/m5pry7kjxd,33,change policy block nato eu membership ukraine peaceful resolution russiaukraineconflict difficult practically impossible  ukrainerussiawar russiaukrainewar ukrainewar,8
the horrors of a meat plant-turned ukrainian neo-nazi base and prison #ukraine #russia  https://t.co/fil2y0mtdr,33,horror meat plantturned ukrainian neonazi base prison ukraine,7
"maria alyokhina, of #pussyriot has escaped russia amidst putin’s clampdown on dissidents. she’s come to edinburgh. #russia #savedemocracy   https://t.co/iejmddlsel",33,maria alyokhina pussyriot escaped amidst putin clampdown dissident edinburgh savedemocracy,0
a video shows destroyed #ukrainian armored vehicles in #tserkoni in #kharkiv province with the advance of the #russian_army in the area #russia_ukraine #ukraine #russia  https://t.co/m3z8zzqlgk,33,video destroyed ukrainian armored vehicle tserkoni kharkiv province advance russianarmy area russiaukraine ukraine,7
footage of russian soldiers removing mines in #arabatskaya_strelka. #ukraine #russia #russia_ukraine  https://t.co/eljlkqiwp6,33,footage soldier removing mine arabatskayastrelka ukraine russiaukraine,7
second army of the third world...  #russia #russiansoldiers #ukrainerussianwar #ukrainewar #ukraineunderattaсk  https://t.co/bvjer37ebg,33,second army third world russiansoldiers ukrainerussianwar ukrainewar ukraineunderattaсk,7
president #vladimirputin said on thursday that the west had triggered a global economic crisis and a wave of ruinous #inflation by imposing on #russia the most severe sanctions in recent history over the conflict in #ukraine.  https://t.co/eaymh6losz,33,president vladimirputin thursday west triggered global economic crisis wave ruinous inflation imposing severe sanction history conflict ukraine,5
"a chevron with #usa flag on the street in #rubizhne was found . most likely, he was lost in battle by a mercenary who came from the #usa  also, on one of the streets of rubizhne, a destroyed armored car of the #ukrainian armed forces. an unused atgm lies next to it. #russia  https://t.co/hy7ce8tpvg",33,chevron usa flag street rubizhne  lost battle mercenary usa street rubizhne destroyed armored car ukrainian armed force unused atgm lie,7
" another day, another fire in #russia. this time, it appears that the brand-new dm tower in #moscow, an 18-story business center is burning.  source :  https://t.co/si1rr8wjzv  https://t.co/iqo7iqbclh",33,day fire time appears brandnew dm tower moscow story business center burning source ,0
"here is a terrible, truly terrible, piece on #georgia in @jacobin magazine. i won’t link to it, it's not worth your time, other than to show just how truly deluded many socialists in the us are, in making excuses for the #sovietunion &amp; #russia. 1/n  https://t.co/cbz13jzsjy",33,terrible terrible piece georgia jacobin magazine link worth time deluded socialist making excuse sovietunion,0
"brief statement on #russia's accusations against ukraine, for a western journalist: 1. russian state media, politicians and ministries have, over the years, published an avalanche of outlandish accusations about kyiv's alleged suppression of #russian speakers throughout #ukraine.  https://t.co/iicelmyz6j",33,statement russia accusation ukraine western journalist  state medium politician ministry year published avalanche outlandish accusation kyivs alleged suppression speaker ukraine,3
@geromanat unable to find visual confirmation but the general assumption is no. especially since #russia has been attempting pontoon bridges just 7km to the n.,33,geromanat unable find visual confirmation general assumption attempting pontoon bridge,4
victory day in #russia as a #humanrights warning to europe. have other countries in the #coe crossed similar red lines? see my piece in #politico.  victory day is a human rights warning for europe  https://t.co/hnec1dnnzs,33,victory day humanrights warning europe country coe crossed red line piece politico victory day human right warning europe,0
pm @morawieckim for @telegraph on putin’s “russkiy mir” ideology and #russia’s aggression against #ukraine. read more:  https://t.co/axkootdih7  https://t.co/xrvobjeptc,33,pm morawieckim telegraph putin russkiy mir ideology russia aggression ukraine read,8
".@mcdonalds corp said on monday it had initiated a process to sell its business in #russia after 30 years of operating its restaurants in the country, following #moscow's invasion of #ukraine.    https://t.co/tgkpcdttip",33,mcdonalds corp monday initiated process sell business year operating restaurant country moscow invasion ukraine,0
"separated at birth    lavrov, mofa of russia    gothmog, lieutenant of morgul  if we really had to pick a favourite, we would go for gothmog   #ukraine #ukrainerussianwar #ukrainian #russia #russianukrainianwar  https://t.co/et9bqnebrd",33,separated birth lavrov mofa gothmog lieutenant morgul pick favourite gothmog ukraine ukrainerussianwar ukrainian russianukrainianwar,7
"the #syrian_army launches the v logo in the sky of the syrian region of #idlib, one of the symbols of the russian special operation in #ukraine. #syria #russia  https://t.co/dhjiggp8gl",33,syrianarmy launch logo sky syrian region idlib symbol special operation ukraine syria,9
"happy victory day #russia. on may 9th every year, its is a national holiday in russia commemorating the soviet union's defeat of nazi germany in world war 2. it is typically marked by an eloborate military parade in moscow's red square @kk_mellon @vladmir1x @sheilahsheilah7  https://t.co/3lp8pkmdys",33,happy victory day year national holiday commemorating soviet union defeat nazi germany world war  typically marked eloborate military parade moscow red square kkmellon vladmirx sheilahsheilah,0
confirmed - #azerbaijan no longer allowing #russia military flights through its territory to get to #armenia. this one from yesterday shows a il-76 cargo (reg. ra-78840; icao 1533f8) diverting through iranian airspace.   #nagornokarabakh  https://t.co/pucskdcqlp,33,confirmed  azerbaijan longer allowing military flight territory armenia yesterday il cargo reg ra icao diverting iranian airspace nagornokarabakh,0
"ukrainian soldiers are fighting the russian occupiers, but at the same time they don’t forget to take care of the animals dogs and cats    this video is full of beauty   #ukraine #russia #finland #zelensky   https://t.co/1dfuyinczh",33,ukrainian soldier fighting occupier time dont forget care animal dog cat video full beauty ukraine finland zelensky,1
"""immortal regiment"" in energodar, liberated from ""#ukraine"". #russia #russianarmy  https://t.co/fexxje5kxz",33,immortal regiment energodar liberated ukraine russianarmy,0
a beauty dancing in front of #ukrainian protesters ! #russia #russian  https://t.co/8tbhyjvspk,33,beauty dancing front ukrainian protester ,7
"again fuc*  #zelensky !!!  #donetsk now  the girl cries over the body of her dead brother who is killed by #ukraine shelling,the man did not have time to reach the basement, he was killed by shrapnel on the threshold of the house. #donbass #russia #ukrainewar  https://t.co/antuzwv1p0",33,fuc zelensky  donetsk girl cry body dead brother killed ukraine shellingthe man time reach basement killed shrapnel threshold house donbas ukrainewar,3
hyacinth-b artillery shelling on ukrainian formations. #ukraine #russia #russia_ukraine  https://t.co/iureykzwdt,32,hyacinthb artillery shelling ukrainian formation ukraine russiaukraine,7
"in germany, locals draw z's on houses where ukrainian refugees live.  in this way they protest against the way the ""guests"" behave.  looooooool.  #ukraine #germany #russia #donbass #refugees  https://t.co/z57gj5txug",32,germany local draw z house ukrainian refugee live protest guest behave looooooool ukraine germany donbas refugee,0
"on the occasion of the 77th anniversary of the end of the #worldwarii in europe, 51 countries, including #georgia  delivered a joint statement to strongly reject #russia’s efforts to distort history  https://t.co/heujvwhvge",32,occasion anniversary worldwarii europe country including georgia delivered joint statement reject russia effort distort history,0
"the strikes of the #russian_forces on the positions of the #ukrainian_forces in the #izyumsky region, #kharkov, northeastern #ukraine. #russia #russia_ukraine  https://t.co/8hgxumskbc",32,strike russianforces position ukrainianforces izyumsky region kharkov northeastern ukraine russiaukraine,9
"the mi-24 combat helicopters, that  #poland deliveredl to #ukraine, in #donbass skies  #russia #ukraine #russia_ukraine  https://t.co/r7ntz0x2rc",32,mi combat helicopter poland deliveredl ukraine donbas sky ukraine russiaukraine,0
#russia's defence ministry said monday that an agreement has been reached to evacuate injured soldiers from the azovstal steel plant in #ukraine's port city of #mariupol.  https://t.co/ffps6htfnk,32,russia defence ministry monday agreement reached evacuate injured soldier azovstal steel plant ukraine port city mariupol,3
"#russia has already fired more than 2100 missiles at #ukraine, said @sergiykyslytsya, ukraine's permanent representative to the @un, during a thursday meeting of the organization's security council on the humanitarian situation in ukraine.  #stopwarinukraine  https://t.co/nz9xh2esd5",32,fired missile ukraine sergiykyslytsya ukraine permanent representative thursday meeting organization security council humanitarian situation ukraine stopwarinukraine,6
i recall excitement of kids at us embassy in moscow when word spread that macdonald's was coming.  macdonald's today announced it would sell its business (850 restaurants) and leave #russia.  https://t.co/jtib9omuya,32,recall excitement kid embassy moscow word spread macdonalds coming macdonalds today announced sell business  restaurant leave,0
"#russia sees the prospect of ukraine's membership of the #eu as the equivalent of its joining nato, a senior russian diplomat at the united nations said on thursday.  https://t.co/oufk2wrboh",32,see prospect ukraine membership eu equivalent joining nato senior diplomat united nation thursday,8
"four military draft stations have been set on fire across #russia within just three days. on may 15, a fire was reported in the military commissariat covering three of the city districts. this was the fourth confirmed arson attack on a military enlistment office in three days.  https://t.co/qwoztrrk3t",32,military draft station set fire three day  fire reported military commissariat covering three city district fourth confirmed arson attack military enlistment office three day,0
"ria novosti reports,the head of roscosmos rogozin,#nato is waging war against russia,it has not declared it but that doesn,t change anything,in a nuclear war nato countries will be destroyed by #russia in half an hour,but we must not allow it,it will affect the state of our world  https://t.co/kltvcweghj",32,ria novosti reportsthe head roscosmos rogozinnato waging war russiait declared doesnt change anythingin nuclear war nato country will destroyed half hourbut allow itit will affect state world,8
#ukraine: drone is bombing #russia|n positions.  https://t.co/sauw5gvoaa,32,ukraine drone bombing position,0
"in #russia, @rutube, a russian video hosting service, is reportedly unavailable due to a suspected #cyber attack:   https://t.co/stobaekrj1",32,rutube video hosting service reportedly unavailable suspected cyber attack,0
"$40 billion war package. beneficiary: raytheon. military industrial complex. one war was wound down (sort of), a new one needed to happen. smedley butler was right: war is a racket. #war #ukraine #russia #raytheon",32, billion war package beneficiary raytheon military industrial complex war wound sort needed happen smedley butler war racket war ukraine raytheon,1
"video shows a little part of one of the confrontations in #donbas, showing the use of the german #matador grenade launcher by #ukrainian_forces. #germany #ukraine #russia #russia_ukraine  https://t.co/adpoce22ip",32,video confrontation donbas showing german matador grenade launcher ukrainianforces germany ukraine russiaukraine,0
"a lot of #nato weapons were equipped in this vushniki factory warehouse,near slavyansk there were also depots of ammunition, #russianarmy just destroyed it with cruise missiles.#ukraine #russia  https://t.co/au3wa3vqez",32,lot nato weapon equipped vushniki factory warehousenear slavyansk depot ammunition russianarmy destroyed cruise missilesukraine,7
"the russian air defences intercepted a target in #shakhtyorsk, #russia #russia_ukraine #ukraine  https://t.co/pkwp6qsiue",32,air defence intercepted target shakhtyorsk russiaukraine ukraine,0
"to all of you leftists protesting weapon aid to #ukraine and stopping convoys with weapons: where the fuck on earth were you, when your country was selling weapons to #russia? #leftism #anarchism  https://t.co/x0cbk4jswt",32,leftist protesting weapon aid ukraine stopping convoy weapon fuck earth country selling weapon leftism anarchism,1
@nedemocracy .@nedemocracy funds activities and academic programs for the purpose of ideological infiltration. (5/5) #usa #russia #ukraine #iran #venezuela #myanmar #egypt #dprk  https://t.co/gjvvjoypv9,32,nedemocracy nedemocracy fund activity academic program purpose ideological infiltration  usa ukraine iran venezuela myanmar egypt dprk,0
"@rwapodcast  breaking: #russia has lost all it's troops, tanks &amp; trucks, and is now fighting #ukraine with children mounted on ussuri brown bears &amp; siberian tigers.",32,rwapodcast breaking lost troop tank truck fighting ukraine child mounted ussuri brown bear siberian tiger,3
"breaking: #russia is withdrawing its military forces from around kharkiv, #ukraine’s second-largest city, in one of its biggest setbacks since retreating from kyiv. while an entire #russian battalion has been destroyed. #putin being humiliated yet again  #slavaukraini",32,breaking withdrawing military force kharkiv ukraine secondlargest city biggest setback retreating kyiv entire battalion destroyed putin humiliated slavaukraini,7
"photo from interview i did live on @bbcworld yesterday on #finland's  #nato membership bid,how #finnish society realizes that #nato's preventive #deterrence is preferable option&amp; #security circumstances now defining finland's relations with #russia. @fiia_fi #turpo #säkpol  https://t.co/kq9buty59p",32,photo interview live bbcworld yesterday finland nato membership bidhow finnish society realizes nato preventive deterrence preferable optionamp security circumstance defining finland relation fiiafi turpo säkpol,8
"#breaking: ukrainian troops defending the city of #kharkiv have reached the state border with #russia, the regional governor said on monday.   https://t.co/rshx5yf1br",32,breaking ukrainian troop defending city kharkiv reached state border regional governor monday,1
snipers of the #russian special forces of the 22nd brigade are working on the line of contact #ukraine #russia #ukrainian #donetsk  https://t.co/s9bd3airsx,32,sniper special force brigade working contact ukraine ukrainian donetsk,7
"‼‼‼#breaking  #ukraine army was successful in reclaiming the area of the border with the aggressor country in the kharkiv region , as part of their counter offensive in the region  #putin #russia  https://t.co/9nihgiumva",32,‼‼‼breaking ukraine army successful reclaiming area border aggressor country kharkiv region  counter offensive region putin,9
and only ignorants are surprised by this news!  #eu #russia #oil #oott #com #natgas  the eu is struggling to phase out russian oil and gas  https://t.co/tgrqxp5pkb,32,ignorants surprised news eu oil oott natgas eu struggling phase oil gas,5
"the “dragonbear” is neither an alliance or an entente nor a “marriage of convenience”, but a temporary asymmetrical relationship, in which #china predominantly sets the tone but remains dependent on #russia in many ways, writes @vtchakarova  https://t.co/orxnvklzuo  https://t.co/gfnp8jhsws",32,dragonbear alliance entente marriage convenience temporary asymmetrical relationship china set tone remains dependent way writes vtchakarova,8
 territorial defense reached border of the #russia in #kharkiv region. #ukraineunderattack #stopputin  https://t.co/85ob2hemoo,32,territorial defense reached border kharkiv region ukraineunderattack stopputin,4
"on another note, it is of great importance the decision of finland to join @nato, securing the whole eastern flank of europe. it’s high time #nato to open the door to #kosovo and not give #serbia nor #russia a veto over #kosovo’s future within #nato. find the courage @nato!",32,note great decision finland join nato securing eastern flank europe high time nato open door kosovo serbia veto kosovo future nato find courage nato,8
