tweet,likes_count,tweetFiltrado,topico
go install ios 16 tonight after the conference ? #wwdc22,13,install io 16 tonight conference ,3
"ipados 16 #wwdc22  - shared tab groups/passkeys/tab groups - collaboration: work on a document together over messages, facetime. freeform for white boarding - metal 3 on ipad - desktop class apps - display scaling and virtual memory swap - stage manager on ipad!  https://t.co/ymrcirmvfw",13,ipados 16 shared tab groupspasskeystab group collaboration work document message facetime freeform white boarding metal 3 ipad desktop class apps display scaling virtual memory swap stage manager ipad,7
hair force one #wwdc22  https://t.co/rd5pajq8nb,13,hair force,0
interesting to see that the ability to recall text messages will be part of #ios16. i’ve needed that a few times!!! #wwdc22,13,interesting ability recall text message #ios16 needed time,3
"new update to messages on ios: unsend, edit and mark unread #wwdc22",13,update message io unsend edit mark unread,3
apple has beaten twitter and whatsapp with one shot of edit and unsend feature #wwdc22,13,apple beaten twitter whatsapp shot edit unsend feature,0
"nobody will use pages i am sorry, google docs is just way ahead, ahead! #wwdc22",13,google doc ahead ahead,1
editable imessages now!!!! #wwdc22  https://t.co/n6dnvibtpb,13,editable imessages,3
my next laptop is being unveiled; the redesigned m2 macbook air  #wwdc22  https://t.co/q6gumyivod,13,laptop unveiled redesigned m2 macbook air,8
craig is the fastest man alive  #wwdc22  https://t.co/sapck7dw5d,13,craig fastest man alive,5
love to run into friends and meet new folks at #wwdc22 !!,13,love friend meet folk ,0
live text will work on videos on ios 16; the use case sampled? copying source code from videos  #wwdc22  https://t.co/amfcpuf5j6,13,live text work video io 16 case sampled copying source code video,3
display scaling #wwdc22  https://t.co/qex34bov17,13,display scaling,6
"the m2 is an improvement in many ways on the m1, but it's not meant to one-up the higher-end m1 pro, m1 max, or m1 ultra seen in the macbook pro and mac studio.  https://t.co/arraqn87n8 #wwdc22",13,m2 improvement way m1 meant one-up higher-end m1 pro m1 max m1 ultra macbook pro mac studio,4
happy #wwdc22 day! :),13,happy day ,5
ios 16 will let you customize the lock screen with widgets and colors that match your photo background #wwdc22  https://t.co/zidtlgssul,13,io 16 customize lock screen widget color match photo background,3
new to #macos ventura: continuity camera. you can use your iphone wirelessly as a webcam for your macbook. it can even offer a top-down view of your desk using the ultra-wide lens. #wwdc22  https://t.co/i5wzgmalru,13,#macos ventura continuity camera iphone wirelessly webcam macbook offer top-down view desk ultra-wide lens,7
"ios16 gets 'safety check' feature. it'll stop sharing your location, resets privacy permission etc #wwdc22 #ios16  https://t.co/ptt0hdc5co",13,ios16 safety check feature sharing location reset privacy permission #ios16,2
that’s remarkably cheap #wwdc22  https://t.co/ajt19zhcvk,13,remarkably cheap,0
fingers crossed for a completely overhauled home app #wwdc22,13,finger crossed completely overhauled app,9
on the iphone you can edit your text messages and unsend  next major update of course #wwdc22,13,iphone edit text message unsend major update course,3
"uh, wut. desk view based on the ultra wide camera on the iphone? i'm curious.  it use the main lens for your a-roll, wide for the desk view.  #wwdc22  https://t.co/6tn8nwrv1j",13,uh wut desk view based ultra wide camera iphone curious main lens a-roll wide desk view,7
which #apple subscription services are you using right now?  #wwdc22,13,#apple subscription service,0
apple just announced a new macbook pro at #wwdc22  https://t.co/oi3zqfdzye,13,apple announced macbook pro,8
rip left-hand dock users #wwdc22,13,rip left-hand dock user,0
very excited to test out all the new software. that was a pretty exciting #wwdc22 for me.,13,excited test software pretty exciting,1
imessage for android!!!   just kidding. #wwdc22  https://t.co/7d3laqm842,13,imessage android kidding,0
apple adding in-app verification. #wwdc22  https://t.co/vm7fpi6iy9,13,apple adding in-app verification,0
built in pay-later or split payments into @apple pay is crazy. same with built in order tracking via apple pay.   a great feature just even better. #wwdc22,13,built pay-later split payment @apple pay crazy built order tracking apple pay great feature better,0
"heck yea, weatherkit sounds pretty cool! #wwdc22",13,heck yea weatherkit sound pretty cool,1
i am sooo excited and having suuuuch fomo. have fun everyone!!! #wwdc22,13,sooo excited suuuuch fomo fun,5
they are way too many amazing announcements at this year’s apple event. love to see it! #wwdc22,13,amazing announcement year apple event love,5
#newprofilepic for @tim_cook in preparations for #wwdc22   https://t.co/drhhkmiv2w,13,#newprofilepic @tim_cook preparation,0
new animation #wwdc22   https://t.co/oj6efjkggi,13,animation,0
second display for the ipad!!!!!!! #wwdc22  https://t.co/oikdwnqodr,13,second display ipad,6
#wwdc22 did anyone see craig federighi's 6 stripe apple tracksuit??,13,craig federighis 6 stripe apple tracksuit,0
macos ventura also has the weather app! #wwdc22  https://t.co/graxpy5oze,13,macos ventura weather app,7
"if you look up ""warm hug"" in the dictionary, its just a picture of craig #wwdc22",13,warm hug dictionary picture craig,5
"ok, i am a fan of the cheese now. the sports one threw me off but the full lean into it is great. #wwdc22  https://t.co/96emshbwbj",13,fan cheese sport threw full lean great,0
"i'm almost as excited about ""mark unread"" as i was back in the day when apple gave us ""copy &amp; paste"" years after every other phone had it...   #abouttime #wwdc22 #wwdc2022",13,excited mark unread day apple copy paste year phone #abouttime #wwdc2022,5
new dictation features in ios 16: on-device dictation feature to move fluidly between voice and touch  #wwdc22  https://t.co/eefbqpshdo,13,dictation feature io 16 on-device dictation feature move fluidly voice touch,3
that’s the macbook air! #wwdc22  https://t.co/tgvw97smnb,13,macbook air,8
apple is adding four new animated watch faces to watchos 9 #wwdc22  https://t.co/qhwrawfiny,13,apple adding animated watch face watchos 9,9
that image copying feature?!  #wwdc22,13,image copying feature,0
"macbook air with m2 processor announced. 13.6 inch liquid retina notch display, magsafe charging port, 2 x usb c ports, 18 hours video playback, fast charging  and in 4 different colors. #wwdc22  https://t.co/vd06szmp2r",13,macbook air m2 processor announced 136 inch liquid retina notch display magsafe charging port 2 usb port 18 hour video playback fast charging 4 color,6
we’ll be going live on twitter spaces in ten minutes to discuss #wwdc22  https://t.co/wsrnmnriir,13,going live twitter space ten minute discus,3
midnight macbook air is the nicest color i’ve ever laid my eyes upon omg #wwdc22,13,midnight macbook air nicest color laid eye omg,6
apple rolling out a pay later feature on apple pay - ohhhh lordy.  #wwdc22,13,apple rolling pay feature apple pay ohhhh lordy,0
“vehicles will be announced next year.”  i bet they are. #wwdc22,13,vehicle announced year bet,1
who would have guessed we got editable imessages before we got editable tweets #wwdc22  https://t.co/pekgrvu0de,13,guessed editable imessages editable tweet,3
hey daddy @apple #apple #wwdc22   https://t.co/gq1oyflm9x,13,hey daddy @apple #apple,0
shareplay comes to messages. #wwdc22  https://t.co/vypnpvqaqu,13,shareplay message,3
editing and unsending texts…and marking text threads as unread. need it! #wwdc22,13,editing unsending textsand marking text thread unread,3
"new carplay looks amazing! fits a variety of screen sizes and even connects with the car to display speed, fuel, in the carplay ui #wwdc22  https://t.co/cvfkeheklz",13,carplay amazing fit variety screen size connects car display speed fuel carplay ui,1
“today…we’re extending handoff to facetime. we’re calling it…faceoff.” #wwdc22,13,todaywere extending handoff facetime calling itfaceoff,7
a little microsoft outlook cameo there #wwdc22,13,microsoft outlook cameo,0
"in case you missed #wwdc22 here's a quick round up of what apple announced.   upgrades across ios, mac os, watch os and ipad os.  https://t.co/td8hdfxn60",13,case missed quick round apple announced upgrade io mac o watch o ipad o,0
"apple watch is getting new watch faces, including a new lunar watch face with support for various lunar calendars  live updates:  https://t.co/ng5lalkcjo #wwdc22  https://t.co/saacwiyeih",13,apple watch watch face including lunar watch face support lunar calendar live update,9
swiftui - what's new  can't wait!!!!!  #wwdc22  https://t.co/700rkarg5p,13,swiftui wait,0
tap to pay with apple pay launching this month  #wwdc22  https://t.co/4wscuieljh,13,tap pay apple pay launching month,0
going live at 9.30am pt/12.30pm et to talk all things #wwdc22 with @iyaz and @bridgetcarey before the keynote starts at 10am.  then we're back at the same link after the keynote for all the analysis you want. come join us!   https://t.co/hlomi6zjb8,13,going live 930am pt1230pm talk thing @iyaz @bridgetcarey keynote start 10am link keynote analysis join,5
"apple keep pushing these collaboration and facetime features,  let’s see some redesigned icons, multi tasking windows, split screen apps, calculator for ipad with history #wwdc22",13,apple keep pushing collaboration facetime feature redesigned icon multi tasking window split screen apps calculator ipad history,7
"this seriously looks like something that apple beat google to the punch on. custom dashboard and module designs. lots of manufacturers on board.  if this was an independent from iphone os, as in the main platform/software for a car, apple would win the car os space imo.  #wwdc22  https://t.co/wdngdmuebv",13,seriously apple beat google punch custom dashboard module design lot manufacturer board independent iphone o main platformsoftware car apple win car o space imo,1
"ios 16, macos ventura, ipados 16, and watchos 9 will enter developer beta today, public beta in july, and officially launch this fall. #wwdc22",13,io 16 macos ventura ipados 16 watchos 9 enter developer beta today public beta july officially launch fall,8
craig marry me #wwdc22,13,craig marry,5
"continuity camera lets you use your iphone as a webcam. uh oh, camo. #wwdc22",13,continuity camera iphone webcam uh camo,7
"still poland seems to be a piece of desert for apple in 2022. where are siri, news, detailed maps etc.? we are highly desipointed here @tim_cook   #wwdc22 #ios16 @apple",13,poland piece desert apple 2022 siri news detailed map highly desipointed @tim_cook #ios16 @apple,0
"when i grow up, i wanna be like craig federighi. #wwdc22",13,grow wanna craig federighi,5
i love the new lock screen on #ios16. i've always had issues with the font of the time and date as it never had enough contrast. so being able to customize it makes it easier for me to see. #wwdc22.,13,love lock screen #ios16 issue font time contrast customize easier,3
"apple’s freeform is a whiteboard for collaboration coming to ipad, iphone, and mac #wwdc22  https://t.co/z1d8gkjvrc",13,apple freeform whiteboard collaboration coming ipad iphone mac,7
continuity camera. let’s you use your iphone as a webcam. includes features like center stage and portrait mode. #wwdc22  https://t.co/i7cxh2snmp,13,continuity camera iphone webcam includes feature center stage portrait mode,7
i’m waiting for macos oxnard personally #wwdc22,13,waiting macos oxnard personally,7
hour and a half till #wwdc22,13,hour half till,6
"well….rest in pieces, glance.  #wwdc22   also how many times they gonna say glance? ",13,wellrest piece glance time gonna glance,4
#wwdc22? i need to get through wwdc 1 to 21 first.,13,1 21,0
imessage edit finally!  imessage delete finally!  imessage mark as unread finally!  #wwdc22,13,imessage edit finally imessage delete finally imessage mark unread finally,3
this is an apple car. you cannot tell me otherwise. #applecar #wwdc22  https://t.co/9qeebo3oaz,13,apple car #applecar,0
"woah, apple coming after vendors like afterpay with pay later. separate the cost of a purchase into 4 equal payments. also adding order tracking directly in wallet #wwdc22  https://t.co/3y8zj14rwv",13,woah apple coming vendor afterpay pay separate cost purchase 4 equal payment adding order tracking directly wallet,0
"wow, a weather app on the ipad. must be 2011! #wwdc22",13,wow weather app ipad 2011,7
last call to save up to $210 on #apple's current ipad pro. #deals end tonight! #wwdc22  https://t.co/upceluytgd  https://t.co/u4yl3lddji,13,call save 210 #apples current ipad pro #deals tonight,7
in place and ready for #wwdc22  what will apple reveal next???  https://t.co/zuscrd1igj,13,place ready apple reveal,0
#wwdc22 ready huge credits to all involved  #showlive #showteam  https://t.co/ardxxkp1xc,13,ready huge credit involved #showlive #showteam,5
"the home app is also getting a much needed redesign, including adding categories. #wwdc22  https://t.co/lctdvrpnkf",13,app needed redesign including adding category,9
yes. keine fucking weissen displayframes. und magsafe   #wwdc22,13,keine fucking weissen displayframes und magsafe,6
next-gen carplay can uhhh adapt to any screen and uhhh all your car's screens?  lotta gauge styles here too  #wwdc22  https://t.co/jivjwzskau,13,next-gen carplay uhhh adapt screen uhhh car screen lotta gauge style,1
apple car confirmed #wwdc22,13,apple car confirmed,0
reminder to turn on tweet notifications from @r3dash to get notified of every song apple uses in their #wwdc22 event tonight. ,12,reminder turn tweet notification @r3dash notified song apple event tonight,5
ready for tonight #wwdc22  https://t.co/erpddcwnr9,12,ready tonight,5
a very interesting mix of real presentation and virtual at #wwdc22  https://t.co/wx13ilhvh7,12,interesting mix real presentation virtual,0
macbook air m2  #wwdc22,12,macbook air m2,8
"all new macbook air powered by m2 with new colors, 13.6” retina display with notch, touchid, magsafe + 2 thunderbolt ports, headphone jack  #macbookair #applem2 #wwdc22  https://t.co/0p3dehwjyi",12,macbook air powered m2 color 136 retina display notch touchid magsafe  2 thunderbolt port headphone jack #macbookair #applem2,6
"yo, the song selection for #wwdc22 is so good. if any of you find someone who's put together a playlist, let me know.",12,yo song selection good find playlist,5
fun fact: tim cook has walked halfway around apple park during the course of this video. #wwdc22,12,fun fact tim cook walked halfway apple park course video,5
lockscreen customization  #wwdc22,12,lockscreen customization,3
it has a notch #wwdc22  https://t.co/bsba9nnvlq,12,notch,6
"holy shit, craig! what an entrance! #wwdc22",12,holy shit craig entrance,5
losing the tapered edges was a mistake.  #wwdc22,12,losing tapered edge mistake,0
*apple says m2 is twice as fast as pc chip using same power $aapl #wwdc22,12,apple m2 fast pc chip power aapl,4
accidentally slept through #wwdc22… ama,12,accidentally slept ama,0
this is the feature i'm most excited about from #wwdc22: using your iphone as a webcam.  i have lots of questions though! - what resolutions are supported? (4k?) - does it only work when mounted to my computer or can i have it on a tripod? - any latency?   https://t.co/vfvf6ncvny,12,feature excited iphone webcam lot question resolution supported 4k work mounted computer tripod latency,5
next up is macos ventura  #macos #wwdc22  https://t.co/r5wrert8xo,12,macos ventura #macos,7
intel:  #wwdc22  https://t.co/zqf0tp9gag,12,intel,0
"this is apple’s head of chips, johny srouji. or as he is better known: the christopher walken of big tech #wwdc22  https://t.co/3qdem5ugwn",12,apple head chip johny srouji better christopher walken big tech,0
"18% more powerful than m1, na my savings have been spared, not convinced, i will wait for m3  #wwdc22",12,18 powerful m1 saving spared convinced wait m3,4
"so, the new macbook air looks good. i was hoping for great. the design is too blocky. the new colors are eh.  #wwdc22   pricing? $999 starting point seems assured.",12,macbook air good hoping great design blocky color eh pricing 999 starting point assured,8
"me watching #wwdc22: yes, personalized lock screens! i’ve been waiting for this!  my lock screen for the past 4 years:  https://t.co/dxlekzl1cf",12,watching personalized lock screen waiting lock screen 4 year,3
tim cook’s intro in a bit of a new place today… #wwdc22  https://t.co/iv59drlibd,12,tim cook intro bit place today,5
new lock screen just gave me an ulcer thinking about all the work/teams that must have involved  #wwdc22,12,lock screen ulcer thinking workteams involved,3
my mac better float and defy gravity or i’m complaining #wwdc22,12,mac better float defy gravity complaining,0
all the stats for the m2 macbook air. #wwdc22  https://t.co/qyhbewhbml,12,stats m2 macbook air,8
m2 macbook air #wwdc22  https://t.co/9ewomcxv2w,12,m2 macbook air,8
i see a pre #wwdc22 starbucks run in my near future!,12,pre starbucks future,0
they are not stopping  #wwdc22  https://t.co/snlrxv4uns,12,stopping,0
#wwdc22 has started. enjoying the sun and marveling at how bright the outdoor screen is. also waiting if apple is actually going to mention arcade or games in their keynote   https://t.co/wlp2vb4k7j,12,started enjoying sun marveling bright outdoor screen waiting apple going mention arcade game keynote,5
ventura is the next macos! #wwdc22  https://t.co/ujolmnwxp9,12,ventura macos,7
watchos 9 makes the apple watch an even more integral part of your health #wwdc22  https://t.co/ca31qnw2nq,12,watchos 9 apple watch integral health,9
new ios homescreen borrows from… apple watch ideas. smart. #wwdc22,12,io homescreen borrows apple watch idea smart,0
#carplay has a deeper integration with your car thanks to a direct connection between the car system and your iphone with a lot of personalization. coming late 2023 and a signal that at least some car manufacturers have thrown in the towel #wwdc22  https://t.co/cuhppxdi1w,12,#carplay deeper integration car direct connection car system iphone lot personalization coming late 2023 signal car manufacturer thrown towel,1
the last time i was around wwdc was in 2015 when i biked to muir woods with @mads_hartmann — haven't been to sf since. i miss it. need to find an excuse to go back  https://t.co/xk5rp4d36y  hope everyone has a great #wwdc22  https://t.co/n8uua6busb,12,time 2015 biked muir wood @mads_hartmann — sf find excuse hope great,0
yeah nobody’s buying a macbook for the games. yet.  #wwdc22,12,yeah nobody buying macbook game,8
continuity camera   using the iphone as your webcam?   #wwdc22,12,continuity camera iphone webcam,7
never have i been so excited about something called windows #wwdc22,12,excited called window,7
"this is where in the #wwdc22 keynote i can zone out, no house for me to worry about ",12,keynote zone house worry,5
"in ios 16 you will be able to mark imessages as ""unread."" no other technological advancement will top this in 2022. finally! #wwdc22",12,io 16 mark imessages unread technological advancement top 2022 finally,3
"woah in ios 16 you can edit messages and unsend them. clearly won't work for any texts you send to android, of course, but still ....that's hot #wwdc22",12,woah io 16 edit message unsend clearly work text send android course hot,3
"on a more serious note about #wwdc22, safety check looks… seriously good, and this is why diverse teams matter",12,serious note safety check seriously good diverse team matter,2
excited to see what all my awesome colleagues have been up to! #wwdc22  https://t.co/eghwzbq7xl,12,excited awesome colleague,5
desk view looks perfect for anyone who needs to do voiceover demos over zoom regularly  #wwdc #wwdc22,12,desk view perfect voiceover demo zoom regularly #wwdc,7
resident evil village is coming to mac #wwdc22,12,resident evil village coming mac,0
the new lockscreen looks cool. #ios16 #wwdc22  https://t.co/x2bxlpkmty,12,lockscreen cool #ios16,3
"basically apple is admiting that their webcam is shit, and you can now use your phone to get more out of it. uhmmmmm #wwdc22",12,basically apple admiting webcam shit phone uhmmmmm,0
what would you do if you could go back in time? iness is introducing time machine for commercial buildings!  travel back in time. see what happened in your building directly integrated into your floor plans uncover your history and uptime all in one coherent experience #wwdc22  https://t.co/skv3c5nyxu,12,time iness introducing time machine commercial building travel time happened building directly integrated floor plan uncover history uptime coherent experience,1
you can now unsend an imessage on ios 16. #wwdc22  https://t.co/8zoxzuive6,12,unsend imessage io 16,3
omg new customizable lock screen coming for ios 16 #wwdc22  https://t.co/djivepfnwi,12,omg customizable lock screen coming io 16,3
the apple fanboy in me is jumping with joy right now with all these lockscreen changes!!  #wwdc22,12,apple fanboy jumping joy lockscreen change,3
wen can pre-order m2 air? #wwdc22,12,wen pre-order m2 air,8
widgets are coming in apple carplay  #wwdc22  https://t.co/mcrbykf2yb,12,widget coming apple carplay,0
"""stage manager"" is the cross-platform finder? #wwdc22",12,stage manager cross-platform finder,7
never in my life would i expect a mac to be able to handle the graphics powerhouse that is resident evil 8 lmao   #wwdc22  https://t.co/wkr823je5e,12,life expect mac handle graphic powerhouse resident evil 8 lmao,4
next generation of carplay is coming #wwdc22  https://t.co/kosaxjf4ei,12,generation carplay coming,1
waiting for the #wwdc22 keynote!,12,waiting keynote,5
once a week i need to restart my car so carplay will work and guess what i don’t eve care if this is the future of huds. #wwdc22,12,week restart car carplay work guess eve care future hud,1
facetime call handoff finallllyyyyyy #wwdc22  https://t.co/3pdeqou1py,12,facetime call handoff finallllyyyyyy,7
"and that’s a wrap! zero mention of apple glasses or realityos.  welp, ok. #wwdc22",12,wrap mention apple glass realityos welp,0
looks like a clean berliner sommerfestival  #wwdc22 @zalandotech  https://t.co/1rfc1qif0z,12,clean berliner sommerfestival @zalandotech,0
the new lockscreens widget on ios 16 #wwdc22  https://t.co/gl29srscq5,12,lockscreens widget io 16,3
i got distracted but just realized ios 16 still doesn’t have ability to split screen apps or use apple pencil. samsung still got that on them for now #wwdc22,12,distracted realized io 16 ability split screen apps apple pencil samsung,3
can't wait to dive into metal 3 :) #wwdc22,12,wait dive metal 3 ,7
"next up, apple maps. the new maps interface is coming to 11 additional countries later this year.  live updates:  https://t.co/ng5lalkcjo #wwdc22  https://t.co/zcuvlbsdsz",12,apple map map interface coming 11 additional country year live update,0
at #wwdc22 waiting for the keynote to begin.  https://t.co/vcuofnmflc,12,waiting keynote,5
apple only looks innovative at #wwdc22 because they actively suppress outside innovation. their hardware and software monopoly isn't future-forward. the company has more in common with an 1880s railroad monopoly than it'd like you to believe.,12,apple innovative actively suppress innovation hardware software monopoly future-forward company common 1880s railroad monopoly,0
why is craig such a badass? #wwdc22,12,craig badass,5
apple announces macos ventura with developer beta 1 releasing today and public beta in july.   #macos #macosventura #wwdc22  https://t.co/qqkui2shbs,12,apple announces macos ventura developer beta 1 releasing today public beta july #macos #macosventura,8
#freeform is a new whiteboard app coming later this year. this and collaboration features integrated around facetime will get to enterprise without apple even trying. #wwdc22  https://t.co/qas098copy,12,#freeform whiteboard app coming year collaboration feature integrated facetime enterprise apple,7
"apple pay later, lets see what this does with the bnpl market #wwdc22",12,apple pay bnpl market,0
"i'm in love w/ the floating castle of schwerin  schwerin castle, germany    by @bokehm0n  #love #schwerin #castle #germany #europe #dream #destination #holiday #vacation #dday78 #wwdc22 #travel #travelblog  https://t.co/q1fydl0ygd",12,love floating castle schwerin schwerin castle germany @bokehm0n #love #schwerin #castle #germany #europe #dream #destination #holiday #vacation #dday78 #travel #travelblog,0
now you'll be able to grab text straight from videos &amp; photos #wwdc22 #ios16  https://t.co/eocm3qjsww,12,grab text straight video photo #ios16,2
live text &amp; visuals in action #ios16 #wwdc22  https://t.co/wymtkb5ai6,12,live text visuals action #ios16,3
some takeaways from #wwdc22  - apple will let users unsend and edit text messages. - new safety check feature aims to help domestic abuse victims review who they've shared access and location information with. - users can revoke access to others to protect their privacy.  https://t.co/ahblltt0az,12,takeaway apple user unsend edit text message safety check feature aim help domestic abuse victim review shared access location user revoke access protect privacy,2
"sorry, are we pushing ipad to the limit or ipad users?  #wwdc22",12,pushing ipad limit ipad user,7
okay this is good: shared library — photos sent straight to this folder for family members   #ios16 #wwdc22  https://t.co/plluu03piu,12,good shared library — photo straight folder family member #ios16,2
ios 16 has an easier way to share photos with family:  1. icloud shared photo library 2. share some pics or any you want  point is to let everyone see all their photos from their iphones  #wwdc22  https://t.co/kl6denmvux,12,io 16 easier share photo family 1 icloud shared photo library 2 share pic point photo iphones,2
crazyyyyyyyy! #wwdc22  https://t.co/medcylekxx,12,crazyyyyyyyy,0
i’m going to cry tears of joy:   imessage is getting unsend &amp; edit message functionality   #wwdc22,12,going cry tear joy imessage unsend edit message functionality,3
one thing becoming pretty clear from #wwdc22 is that apple sits highest up the value chain and can choose to dominate any business it wants to (ex bnpl).,12,thing pretty clear apple sits highest chain choose dominate business bnpl,0
"ipad is getting some desktop class updates. includes a redesigned find and replace menu, a document window that shows common actions you might want to take in apps, and customizable toolbars #wwdc22  https://t.co/ci9mpu5jok  https://t.co/chmaqjmoyj",12,ipad desktop class update includes redesigned find replace menu document window common action apps customizable toolbars,7
support rcs you cowards #wwdc22,12,support rcs coward,0
bruh that jumper thooooo!   #wwdc22 they got me with that  https://t.co/coqcdx0dff,12,bruh jumper thooooo,0
apple tv+ #wwdc22  https://t.co/qwq5yucxas,12,apple tv,0
eyes wallet anxiously  #macpro #wwdc22,12,eye wallet anxiously #macpro,0
"yeah, whatever with your #wwdc22 keynote, it’s dinner time.  https://t.co/lpyegz2bbl",12,yeah keynote dinner time,5
watching #wwdc22 ?,12,watching ,5
"apple's live text feature, where you can highlight and copy text in a photo, is coming to videos too. #wwdc22",12,apple live text feature highlight copy text photo coming video,0
new on apple pay: contactless payment directly on the iphone. #wwdc22  https://t.co/3eaogbwiex,12,apple pay contactless payment directly iphone,0
enjoying #wwdc22 with amazing company and great food.   https://t.co/pawc7zqsva,12,enjoying amazing company great food,0
apple adding afib history. working on fda clearance. #wwdc22  https://t.co/wp6x09xkn8,12,apple adding afib history working fda clearance,9
" wwdc live: all the latest news, updates and announcements from #wwdc22  https://t.co/4rxunmb0eh  https://t.co/kcsqedxhyb",12,live latest news update announcement,3
"trying caffe macs, at last!  #wwdc22  https://t.co/ofvotbdm7j",12,caffe mac,0
can’t wait to share my 60 stack overflow tabs with all my friends on safari #wwdc22,12,wait share 60 stack overflow tab friend safari,7
undo “send” &amp; editing option in apple imessage!!  #wwdc22,12,undo send editing option apple imessage,3
"well #wwdc22 didn’t announce bitcoin specifically but they did include #square, who are adding #bitcoin lightning  payments.  better than nothing, but a long way to go!  we are still so early   https://t.co/duxihovpgj",12,bitcoin include #square adding #bitcoin lightning payment better long early,0
30 minutes before we can stream the #wwdc22 keynote in 4k + spatial audio on the @appletv app!,12,30 minute stream keynote 4k  spatial audio @appletv app,5
super excited for the new uicollectionviewcell apis where you can finally have swiftui views as your cell’s contentview!!!  #wwdc22,12,super excited uicollectionviewcell apis finally swiftui view cell contentview,5
lock screen ios 16 &gt; watchos  #wwdc22,12,lock screen io 16 gt watchos,3
"well, i’m exhausted from digesting all the cool, new announcements. how about you? #wwdc22",12,exhausted digesting cool announcement,5
everyone shut up they're talking about computers now #wwdc22,12,shut talking computer,0
got my split screen setup and ready for action. #wwdc22  https://t.co/ovpn7b9hmh,12,split screen setup ready action,0
details on the new lock screen are available in apple newsroom. #wwdc22  https://t.co/rkllqsnisl,12,detail lock screen apple newsroom,3
"#watchos9 gets new watch faces, custom workouts, baner notifications, sleep stages &amp; more #wwdc22  https://t.co/uo6ig6wdp0",12,#watchos9 watch face custom workout baner notification sleep stage,9
big move to ios 16 and i love it ... #wwdc22,12,big move io 16 love ,3
@tldtoday i knew i 've seen this guy somewhere.. #wwdc22  https://t.co/dwv5gotwn4,12,@tldtoday knew ve guy,0
are we finally getting any of these?  - unsend a message  - edit a message  #ios16 #wwdc22  https://t.co/pysdynvi5n,12,finally unsend message edit message #ios16,3
it begins! @tim_cook @gregjoz #wwdc22  https://t.co/w3roxjahne,12,@tim_cook @gregjoz,0
it has been a while @aapltree #wwdc22  https://t.co/fqnplx9l3w,12,@aapltree,0
watchos #wwdc22  - 4 new watch faces - serious running metrics  - detailed sleep stage tracking - medication tracking  https://t.co/ekbxsk6wqf,12,watchos 4 watch face serious running metric detailed sleep stage tracking medication tracking,9
"yes, cool, but is it an rtx 3090? #wwdc22  https://t.co/6yceaxxlxc",12,cool rtx 3090,0
now it's time for watchos 9 #watchos9 #wwdc22  https://t.co/z1xfqakaov,12,time watchos 9 #watchos9,9
*almost*   1 hour to go #wwdc22,12,1 hour,6
"oh snap, m2 #wwdc22",12,snap m2,4
i'm very excited to see what apple has in store this year for ios &amp; ipados..  1 hour to go!  #wwdc22 #apple,12,excited apple store year io ipados 1 hour #apple,5
m2 chip announced #wwdc22,12,m2 chip announced,4
and there' the game demo  #wwdc22  https://t.co/u4ybcqe8kr,12,game demo,0
and here it is! the new system preferences in #macosventura... *sigh* #wwdc22  https://t.co/jvaaec1gh3,12,system preference #macosventura sigh,7
resident evil village is coming to the mac. #wwdc22  https://t.co/rjgpfvyogt,12,resident evil village coming mac,0
"omg, an australian in the wwdc keynote!!! i can recognise the accent anywhere! #wwdc22",12,omg australian keynote recognise accent,5
dictation on ios is used over 18 billion times per month. voice for users is important. #wwdc22 #accessibility,11,dictation io 18 billion time month voice user #accessibility,4
new features in ipados 16  #ipados #wwdc22  https://t.co/ggnbblahul,11,feature ipados 16 #ipados,3
apple just announced that with the latest software update you can edit and unsend messages. #wwdc22,11,apple announced latest software update edit unsend message,3
i’ve tried dictation a couple of times and it almost never works as good as i’d like. let’s hope this overhaul changes that! #wwdc22,11,dictation couple time work good hope overhaul change,3
android fans are definitely happy #wwdc22 #ios16,11,android fan definitely happy #ios16,0
"#wwdc22 #apple #applekeynote  her: come over, my parents aren't home he:  https://t.co/guatt9dlzh",11,#apple #applekeynote parent,0
alright who out there wants craig as their zaddy #wwdc22   ??  anyone?,11,alright craig zaddy ,5
new macs will be available next month. #wwdc22  https://t.co/lc7q33pcp2,11,mac month,8
"i'd like a way to never email again, how about that? #wwdc22  https://t.co/mqjqnedue6",11,email,0
"messages, that app europeans use exclusively for 2fa sms.  #wwdc22",11,message app european exclusively 2fa sm,3
i want the blue macbook air  #wwdc22,11,blue macbook air,8
you can approve screen time requests directly in messages. you can adjust parental control settings with family checklist in ios 16  #wwdc22 #ios16 live updates:  https://t.co/ng5lalkcjo #wwdc22,11,approve screen time request directly message adjust parental control setting family checklist io 16 #ios16 live update,3
don't know how i feel about tim's accent jacket. #wwdc22  https://t.co/puiwjkgpcp,11,feel tims accent jacket,0
when your ipad pro m1 screen is better than your studio display for color reference #wwdc22  https://t.co/9gjt4oh0fg,11,ipad pro m1 screen better studio display color reference,6
"my favorite release from #wwdc22 is continuity camera, for sure. i've always found super strange to buy an external webcam when we all have amazing cameras on our phones. this is huge. iphone's camera is going to improve so much the quality of video calls. ",11,favorite release continuity camera super strange buy external webcam amazing camera phone huge iphones camera going improve quality video call,0
literally advocating for mark as unread in messages for like 5 years and finally seeing it ship  #wwdc22,11,literally advocating mark unread message 5 year finally ship,3
